"","period","mean","converge_time","signal","type","good"
"409",1,0.8,4,11,"SB_10","Correct consensus"
"410",2,0.9,4,11,"SB_10","Correct consensus"
"411",3,1,4,11,"SB_10","Correct consensus"
"412",4,1,4,11,"SB_10","Correct consensus"
"413",5,1,4,11,"SB_10","Correct consensus"
"414",6,1,4,11,"SB_10","Correct consensus"
"415",7,1,4,11,"SB_10","Correct consensus"
"416",8,1,4,11,"SB_10","Correct consensus"
"417",9,1,4,11,"SB_10","Correct consensus"
"418",10,1,4,11,"SB_10","Correct consensus"
"419",11,1,4,11,"SB_10","Correct consensus"
"420",12,1,4,11,"SB_10","Correct consensus"
"421",1,0.7,4,12,"SB_10","Breakdown"
"422",2,0.7,4,12,"SB_10","Breakdown"
"423",3,0.7,4,12,"SB_10","Breakdown"
"424",4,0.7,4,12,"SB_10","Breakdown"
"425",5,0.7,4,12,"SB_10","Breakdown"
"426",6,0.7,4,12,"SB_10","Breakdown"
"427",7,0.7,4,12,"SB_10","Breakdown"
"428",8,0.7,4,12,"SB_10","Breakdown"
"429",9,0.7,4,12,"SB_10","Breakdown"
"430",10,0.7,4,12,"SB_10","Breakdown"
"431",11,0.7,4,12,"SB_10","Breakdown"
"432",12,0.7,4,12,"SB_10","Breakdown"
"433",1,0.8,4,13,"SB_10","Correct consensus"
"434",2,0.9,4,13,"SB_10","Correct consensus"
"435",3,1,4,13,"SB_10","Correct consensus"
"436",4,1,4,13,"SB_10","Correct consensus"
"437",5,1,4,13,"SB_10","Correct consensus"
"438",6,1,4,13,"SB_10","Correct consensus"
"439",7,1,4,13,"SB_10","Correct consensus"
"440",8,1,4,13,"SB_10","Correct consensus"
"441",9,1,4,13,"SB_10","Correct consensus"
"442",10,1,4,13,"SB_10","Correct consensus"
"443",11,1,4,13,"SB_10","Correct consensus"
"444",12,1,4,13,"SB_10","Correct consensus"
"445",1,0.9,3,14,"SB_10","Correct consensus"
"446",2,1,3,14,"SB_10","Correct consensus"
"447",3,1,3,14,"SB_10","Correct consensus"
"448",4,1,3,14,"SB_10","Correct consensus"
"449",5,1,3,14,"SB_10","Correct consensus"
"450",6,1,3,14,"SB_10","Correct consensus"
"451",7,1,3,14,"SB_10","Correct consensus"
"452",8,1,3,14,"SB_10","Correct consensus"
"453",9,1,3,14,"SB_10","Correct consensus"
"454",10,1,3,14,"SB_10","Correct consensus"
"455",11,1,3,14,"SB_10","Correct consensus"
"456",12,1,3,14,"SB_10","Correct consensus"
"457",1,0.8,4,15,"SB_10","Correct consensus"
"458",2,0.9,4,15,"SB_10","Correct consensus"
"459",3,1,4,15,"SB_10","Correct consensus"
"460",4,1,4,15,"SB_10","Correct consensus"
